AirQualityStation,date,type,area,no2,n
STA-PT03055,2019-11-23,industrial,urban,17.116666666666667,24
STA-PT03055,2019-11-24,industrial,urban,13.625,24
STA-PT03055,2019-11-25,industrial,urban,14.241666666666667,24
STA-PT03055,2019-11-26,industrial,urban,8.7625,24
STA-PT03055,2019-11-27,industrial,urban,21.475,24
STA-PT03055,2019-11-28,industrial,urban,14.420833333333333,24
STA-PT03055,2019-11-29,industrial,urban,15.508333333333333,24
STA-PT03055,2019-11-30,industrial,urban,16.65833333333333,24
STA-PT03055,2019-12-01,industrial,urban,10.175,24
STA-PT03055,2019-12-02,industrial,urban,9.4,24
STA-PT03055,2019-12-03,industrial,urban,13.225,24
STA-PT03055,2019-12-04,industrial,urban,22.829166666666666,24
STA-PT03055,2019-12-05,industrial,urban,11.6375,24
STA-PT03055,2019-12-06,industrial,urban,16.054166666666667,24
STA-PT03055,2019-12-07,industrial,urban,29.55909090909091,22
STA-PT03055,2019-12-08,industrial,urban,27.775,24
STA-PT03055,2019-12-09,industrial,urban,24.1875,24
STA-PT03055,2019-12-10,industrial,urban,30.845833333333335,24
STA-PT03055,2019-12-11,industrial,urban,32.9,16
STA-PT03055,2019-12-12,industrial,urban,21.0875,24
STA-PT03055,2019-12-13,industrial,urban,20.066666666666666,24
STA-PT03055,2019-12-14,industrial,urban,18.195833333333333,24
STA-PT03055,2019-12-15,industrial,urban,7.0375,24
STA-PT03055,2019-12-16,industrial,urban,15.208333333333334,24
STA-PT03055,2019-12-17,industrial,urban,24.891666666666666,24
STA-PT03055,2019-12-18,industrial,urban,6.354166666666667,24
STA-PT03055,2019-12-19,industrial,urban,4.795833333333333,24
STA-PT03055,2019-12-20,industrial,urban,6.995238095238095,21
STA-PT03055,2019-12-21,industrial,urban,4.245833333333334,24
STA-PT03055,2019-12-22,industrial,urban,13.579166666666667,24
STA-PT03055,2019-12-23,industrial,urban,11.891666666666667,24
STA-PT03055,2019-12-24,industrial,urban,8.929166666666667,24
STA-PT03055,2019-12-25,industrial,urban,14.775,24
STA-PT03055,2019-12-26,industrial,urban,17.995833333333334,24
STA-PT03055,2019-12-27,industrial,urban,15.141666666666667,24
STA-PT03055,2019-12-28,industrial,urban,13.216666666666667,24
STA-PT03055,2019-12-29,industrial,urban,16.020833333333332,24
STA-PT03055,2019-12-30,industrial,urban,27.645833333333332,24
STA-PT03055,2019-12-31,industrial,urban,25.425,24
STA-PT03055,2020-01-01,industrial,urban,20.995833333333334,24
STA-PT03055,2020-01-02,industrial,urban,14.629166666666666,24
STA-PT03055,2020-01-03,industrial,urban,33.454166666666666,24
STA-PT03055,2020-01-04,industrial,urban,24.2375,24
STA-PT03055,2020-01-05,industrial,urban,11.416666666666668,24
STA-PT03055,2020-01-06,industrial,urban,26.004166666666666,24
STA-PT03055,2020-01-07,industrial,urban,31.079166666666666,24
STA-PT03055,2020-01-08,industrial,urban,36.104166666666664,24
STA-PT03055,2020-01-09,industrial,urban,16.954166666666666,24
STA-PT03055,2020-01-10,industrial,urban,13.545833333333334,24
STA-PT03055,2020-01-11,industrial,urban,17.27916666666667,24
STA-PT03055,2020-01-12,industrial,urban,25.379166666666666,24
STA-PT03055,2020-01-13,industrial,urban,37.02916666666667,24
STA-PT03055,2020-01-14,industrial,urban,15.575,24
